invoice_id,date,hour,amount,employee,payment,discount_pct,reason
9008,2025-06-10,2,1910.24,E3,cash,50,outside working hours | amount far from employee average | unusually high discount | large cash payment
9007,2025-04-06,23,1814.67,E3,cash,60,outside working hours | amount far from employee average | unusually high discount | large cash payment
9013,2025-02-07,4,1757.8,E2,cash,40,outside working hours | amount far from employee average | unusually high discount | large cash payment
9012,2025-01-18,4,1701.83,E3,cash,60,outside working hours | amount far from employee average | unusually high discount | large cash payment
9000,2025-07-25,4,1701.66,E2,cash,60,outside working hours | amount far from employee average | unusually high discount | large cash payment
9002,2025-03-21,2,1631.56,E2,cash,40,outside working hours | amount far from employee average | unusually high discount | large cash payment
9009,2025-06-22,23,1614.77,E3,cash,50,outside working hours | amount far from employee average | unusually high discount | large cash payment
9003,2025-07-08,4,1512.24,E2,cash,40,outside working hours | amount far from employee average | unusually high discount | large cash payment
9011,2025-05-28,3,1342.23,E3,cash,40,outside working hours | amount far from employee average | unusually high discount | large cash payment
9004,2025-04-10,23,1277.0,E2,cash,50,outside working hours | amount far from employee average | unusually high discount | large cash payment
9001,2025-05-07,23,1255.88,E2,cash,40,outside working hours | amount far from employee average | unusually high discount | large cash payment
9005,2025-07-03,4,1048.03,E3,cash,60,outside working hours | amount far from employee average | unusually high discount | large cash payment
9014,2025-07-14,3,1030.04,E2,cash,60,outside working hours | amount far from employee average | unusually high discount | large cash payment
9010,2025-06-13,4,1013.78,E2,cash,40,outside working hours | amount far from employee average | unusually high discount | large cash payment
9006,2025-08-05,2,1003.86,E2,cash,40,outside working hours | amount far from employee average | unusually high discount | large cash payment
9022,2025-08-27,10,798.41,E2,cash,30,amount far from employee average | unusually high discount | large cash payment
9020,2025-03-16,14,741.23,E2,cash,25,unusually high discount | large cash payment
9029,2025-01-16,12,738.95,E2,cash,30,unusually high discount | large cash payment
9024,2025-03-29,13,734.1,E2,cash,20,unusually high discount | large cash payment
9026,2025-06-06,17,730.25,E2,cash,30,unusually high discount | large cash payment
9015,2025-05-09,12,721.55,E2,cash,30,unusually high discount | large cash payment
9025,2025-07-22,15,702.11,E2,cash,30,unusually high discount | large cash payment
9016,2025-07-31,13,699.99,E2,cash,30,unusually high discount | large cash payment
9018,2025-03-28,10,671.79,E2,cash,25,unusually high discount | large cash payment
9028,2025-08-06,10,647.62,E2,cash,30,unusually high discount | large cash payment
9021,2025-06-16,10,627.78,E2,cash,30,unusually high discount | large cash payment
9027,2025-02-23,12,592.26,E2,cash,30,unusually high discount | large cash payment
9019,2025-04-06,19,577.02,E2,cash,30,unusually high discount | large cash payment
9017,2025-06-21,12,535.87,E2,cash,25,unusually high discount | large cash payment
1410,2025-01-22,17,532.78,E1,card,10,amount far from employee average
9023,2025-02-23,11,527.75,E2,cash,20,unusually high discount | large cash payment
1287,2025-07-02,19,515.16,E1,card,10,amount far from employee average
9034,2025-02-11,10,486.16,E2,cash,20,unusually high discount
9036,2025-01-11,21,455.06,E2,cash,15,unusual combination of values
1430,2025-03-02,20,434.43,E1,card,10,unusual combination of values
